Loaded: SID/unboxed_laxity_fresh.sf2 @ $0D7E
Mem[$0D80]: 4C 89 0D 4C 91 0D   (INIT)
Mem[$0D83]: 4C 91 0D 4C 9B 0D   (PLAY)
Calling INIT @ $0D80...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
Running 300 frames via PLAY @ $0D83...
frame,cycle,register,old_val,new_val
22,20272,osc1_pw_lo,$D4,$00
22,20279,osc1_pw_hi,$0A,$00
22,20289,osc1_control,$20,$00
22,20503,osc2_pw_lo,$AE,$13
22,20510,osc2_pw_hi,$08,$09
22,20742,osc1_freq_lo,$00,$27
22,20749,osc1_freq_hi,$00,$01
22,20770,osc1_pw_lo,$00,$52
22,20777,osc1_pw_hi,$00,$0B
22,20787,osc1_control,$00,$20
--- Frame 22: 12 SID changes ---
23,21055,osc1_freq_lo,$27,$00
23,21062,osc1_freq_hi,$01,$00
23,21083,osc1_pw_lo,$52,$00
23,21090,osc1_pw_hi,$0B,$00
23,21100,osc1_control,$20,$00
23,21354,osc2_pw_lo,$13,$78
23,21553,osc1_freq_lo,$00,$27
23,21560,osc1_freq_hi,$00,$01
23,21581,osc1_pw_lo,$00,$D0
23,21588,osc1_pw_hi,$00,$0B
23,21598,osc1_control,$00,$20
--- Frame 23: 11 SID changes ---
24,21906,osc1_freq_lo,$27,$00
24,21913,osc1_freq_hi,$01,$00
24,21934,osc1_pw_lo,$D0,$00
24,21941,osc1_pw_hi,$0B,$00
24,21951,osc1_control,$20,$00
24,22165,osc2_pw_lo,$78,$DD
24,22404,osc1_freq_lo,$00,$27
24,22411,osc1_freq_hi,$00,$01
24,22432,osc1_pw_lo,$00,$4E
24,22439,osc1_pw_hi,$00,$0C
24,22449,osc1_control,$00,$20
--- Frame 24: 11 SID changes ---
25,22717,osc1_freq_lo,$27,$00
25,22724,osc1_freq_hi,$01,$00
25,22745,osc1_pw_lo,$4E,$00
25,22752,osc1_pw_hi,$0C,$00
25,22762,osc1_control,$20,$00
25,23016,osc2_pw_lo,$DD,$42
25,23023,osc2_pw_hi,$09,$0A
25,23215,osc1_freq_lo,$00,$27
25,23222,osc1_freq_hi,$00,$01
25,23243,osc1_pw_lo,$00,$CC
25,23250,osc1_pw_hi,$00,$0C
25,23260,osc1_control,$00,$20
--- Frame 25: 12 SID changes ---
26,23568,osc1_freq_lo,$27,$00
26,23575,osc1_freq_hi,$01,$00
26,23596,osc1_pw_lo,$CC,$00
26,23603,osc1_pw_hi,$0C,$00
26,23613,osc1_control,$20,$00
26,23827,osc2_pw_lo,$42,$A7
26,24066,osc1_freq_lo,$00,$27
26,24073,osc1_freq_hi,$00,$01
26,24094,osc1_pw_lo,$00,$4A
26,24101,osc1_pw_hi,$00,$0D
26,24111,osc1_control,$00,$20
--- Frame 26: 11 SID changes ---
27,24379,osc1_freq_lo,$27,$00
27,24386,osc1_freq_hi,$01,$00
27,24407,osc1_pw_lo,$4A,$00
27,24414,osc1_pw_hi,$0D,$00
27,24424,osc1_control,$20,$00
27,24678,osc2_pw_lo,$A7,$0C
27,24685,osc2_pw_hi,$0A,$0B
27,24877,osc1_freq_lo,$00,$27
27,24884,osc1_freq_hi,$00,$01
27,24905,osc1_pw_lo,$00,$C8
27,24912,osc1_pw_hi,$00,$0D
27,24922,osc1_control,$00,$20
--- Frame 27: 12 SID changes ---
28,25230,osc1_freq_lo,$27,$00
28,25237,osc1_freq_hi,$01,$00
