Loaded: Rhaa_Lovely_II_tune_2.prg @ $1000
Mem[$18D7]: A9 03 8D 01 10 A9   (INIT)
Mem[$1377]: EE 44 10 A2 00 AD   (PLAY)
Calling INIT @ $18D7 (subtune 0)...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6F 
Running 200 frames via PLAY @ $1377...
frame,cycle,register,old_val,new_val
--- Frame 74: 7 SID changes ---
75,62036,osc1_control,$41,$81
75,62040,osc1_freq_hi,$09,$81
--- Frame 75: 2 SID changes ---
76,62633,osc1_freq_hi,$81,$09
76,62744,osc1_control,$81,$41
76,62760,osc1_pw_lo,$00,$80
--- Frame 76: 3 SID changes ---
77,63518,osc1_pw_lo,$80,$00
77,63531,osc1_pw_hi,$01,$02
--- Frame 77: 2 SID changes ---
78,64302,osc1_pw_lo,$00,$80
--- Frame 78: 1 SID changes ---
79,65100,osc1_pw_lo,$80,$00
79,65113,osc1_pw_hi,$02,$03
--- Frame 79: 2 SID changes ---
80,65858,osc1_pw_lo,$00,$80
80,66123,osc1_control,$41,$00
80,66127,osc1_pw_lo,$80,$00
80,66139,osc1_pw_hi,$03,$01
80,66227,osc1_freq_hi,$09,$04
80,66238,osc1_freq_lo,$68,$B4
80,66266,osc1_control,$00,$41
--- Frame 80: 7 SID changes ---
81,66953,osc1_control,$41,$81
81,66957,osc1_freq_hi,$04,$81
--- Frame 81: 2 SID changes ---
82,67550,osc1_freq_hi,$81,$04
82,67621,osc1_control,$81,$41
82,67637,osc1_pw_lo,$00,$80
--- Frame 82: 3 SID changes ---
83,68435,osc1_pw_lo,$80,$00
83,68448,osc1_pw_hi,$01,$02
--- Frame 83: 2 SID changes ---
84,69219,osc1_pw_lo,$00,$80
--- Frame 84: 1 SID changes ---
85,70017,osc1_pw_lo,$80,$00
85,70030,osc1_pw_hi,$02,$03
--- Frame 85: 2 SID changes ---
86,70775,osc1_pw_lo,$00,$80
86,71040,osc1_control,$41,$00
86,71044,osc1_pw_lo,$80,$00
86,71056,osc1_pw_hi,$03,$01
86,71183,osc1_control,$00,$41
--- Frame 86: 5 SID changes ---
87,71880,osc1_control,$41,$81
87,71884,osc1_freq_hi,$04,$81
--- Frame 87: 2 SID changes ---
88,72477,osc1_freq_hi,$81,$04
88,72548,osc1_control,$81,$41
88,72564,osc1_pw_lo,$00,$80
--- Frame 88: 3 SID changes ---
89,73362,osc1_pw_lo,$80,$00
89,73375,osc1_pw_hi,$01,$02
--- Frame 89: 2 SID changes ---
90,74146,osc1_pw_lo,$00,$80
--- Frame 90: 1 SID changes ---
91,74944,osc1_pw_lo,$80,$00
91,74957,osc1_pw_hi,$02,$03
--- Frame 91: 2 SID changes ---
92,75702,osc1_pw_lo,$00,$80
92,75927,osc1_control,$41,$00
92,75931,osc1_pw_lo,$80,$00
92,75943,osc1_pw_hi,$03,$01
92,76110,osc1_control,$00,$41
--- Frame 92: 5 SID changes ---
93,76797,osc1_control,$41,$81
93,76801,osc1_freq_hi,$04,$81
--- Frame 93: 2 SID changes ---
