Loaded: Think_Twice_III.prg @ $B100
Mem[$BAC9]: A9 05 8D F4 B1 A9   (INIT)
Mem[$B5CA]: A5 FB 48 A5 FC 48   (PLAY)
Calling INIT @ $BAC9 (subtune 0)...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6F 
Running 200 frames via PLAY @ $B5CA...
frame,cycle,register,old_val,new_val
28,24997,osc2_pw_lo,$D8,$1C
28,25010,osc2_pw_hi,$06,$07
--- Frame 28: 8 SID changes ---
29,25481,osc1_freq_lo,$B1,$A7
29,25557,osc1_pw_lo,$11,$28
29,25667,osc1_freq_lo,$A7,$B1
29,25760,osc2_freq_hi,$27,$1D
29,25857,osc2_pw_lo,$1C,$60
--- Frame 29: 5 SID changes ---
30,26361,osc1_freq_lo,$B1,$A7
30,26437,osc1_pw_lo,$28,$3F
30,26593,osc2_freq_hi,$1D,$1F
30,26604,osc2_freq_lo,$DF,$A5
30,26684,osc2_pw_lo,$60,$A4
--- Frame 30: 5 SID changes ---
31,27250,osc1_pw_lo,$3F,$56
31,27360,osc1_freq_lo,$A7,$C5
31,27446,osc2_freq_hi,$1F,$27
31,27458,osc2_freq_lo,$A5,$DF
31,27538,osc2_pw_lo,$A4,$E8
--- Frame 31: 5 SID changes ---
32,28022,osc1_freq_lo,$C5,$A7
32,28098,osc1_pw_lo,$56,$6D
32,28168,osc1_freq_lo,$A7,$C5
32,28254,osc2_freq_hi,$27,$1D
32,28345,osc2_pw_lo,$E8,$2C
32,28358,osc2_pw_hi,$07,$08
--- Frame 32: 6 SID changes ---
33,28829,osc1_freq_lo,$C5,$A7
33,28905,osc1_pw_lo,$6D,$84
33,29015,osc1_freq_lo,$A7,$B1
33,29101,osc2_freq_hi,$1D,$1F
33,29112,osc2_freq_lo,$DF,$A5
33,29192,osc2_pw_lo,$2C,$70
--- Frame 33: 6 SID changes ---
34,29676,osc1_freq_lo,$B1,$A7
34,29757,osc1_pw_lo,$84,$9B
34,29920,osc2_freq_hi,$1F,$27
34,29932,osc2_freq_lo,$A5,$DF
34,30012,osc2_pw_lo,$70,$B4
--- Frame 34: 5 SID changes ---
35,30632,osc1_pw_lo,$9B,$B2
35,30702,osc1_freq_lo,$A7,$B1
35,30788,osc2_freq_hi,$27,$1D
35,30879,osc2_pw_lo,$B4,$F8
--- Frame 35: 4 SID changes ---
36,31363,osc1_freq_lo,$B1,$A7
36,31439,osc1_pw_lo,$B2,$C9
36,31509,osc1_freq_lo,$A7,$B1
36,31595,osc2_freq_hi,$1D,$1F
36,31606,osc2_freq_lo,$DF,$A5
36,31686,osc2_pw_lo,$F8,$3C
36,31739,osc2_pw_hi,$08,$09
--- Frame 36: 7 SID changes ---
37,32170,osc1_freq_lo,$B1,$A7
37,32246,osc1_pw_lo,$C9,$E0
37,32356,osc1_freq_lo,$A7,$BB
37,32442,osc2_freq_hi,$1F,$27
37,32454,osc2_freq_lo,$A5,$DF
37,32534,osc2_pw_lo,$3C,$80
--- Frame 37: 6 SID changes ---
38,33018,osc1_freq_lo,$BB,$A7
